paralog_gene,dep_gene,cell_line,delta_z,source
INHBB,BMP8B,cd4t_rest,2.8982135485857725,nonsig
PAX6,PAX1,cd4t_rest,8.241665764711797,nonsig
ZNF385C,ZNF385B,cd4t_rest,3.155499152839184,nonsig
DDX28,DDX39A,cd4t_rest,2.9825030732899904,nonsig
STAC2,STAC3,cd4t_rest,6.8626511469483376,nonsig
ACSL3,ACSL4,cd4t_rest,2.0407959297299385,nonsig
TSPYL1,TSPYL5,cd4t_rest,2.29718616604805,nonsig
TSPYL1,SET,cd4t_rest,2.387255698442459,nonsig
SIM1,HIF1A,cd4t_rest,2.583193227648735,nonsig
CALM3,CALM2,cd4t_rest,2.203516587615013,nonsig
CALM3,CALM1,cd4t_rest,2.706777438521385,nonsig
RLF,ZNF292,cd4t_rest,2.6675997897982597,nonsig
CSNK1E,CSNK1D,cd4t_rest,2.104541739448905,nonsig
TFAP2D,TFAP2E,cd4t_rest,2.16255584359169,nonsig
UBE2QL1,UBE2D3,cd4t_rest,2.8362093418836594,nonsig
EXOSC7,EXOSC9,cd4t_rest,2.5663645565509796,nonsig
TPD52L2,TPD52L1,cd4t_rest,2.151605010032654,nonsig
ARHGAP44,SH3BP1,cd4t_rest,2.4393343031406403,nonsig
SIGLEC11,CD33,cd4t_rest,2.0616578049957752,nonsig
PPEF2,PPP6C,cd4t_rest,2.1558150090277195,nonsig
ACO1,IREB2,cd4t_rest,2.7039341181516647,nonsig
HNRNPH3,HNRNPH1,cd4t_rest,3.5817486345767975,nonsig
FOXD4,FOXE3,cd4t_rest,4.180238340049982,nonsig
FOXE1,FOXD4,cd4t_rest,4.37181556597352,nonsig
USP51,USP27X,cd4t_rest,2.9271028265357018,nonsig
TMPRSS4,KLK1,cd4t_rest,2.172760397195816,nonsig
TSPAN31,TSPAN9,cd4t_rest,4.061650399118662,nonsig
HIPK4,HIPK1,cd4t_rest,5.939265713095665,nonsig
MAK,MAPK14,cd4t_rest,2.3243095725774765,nonsig
ARHGAP23,ARHGAP21,cd4t_rest,2.08912356197834,nonsig
DYNLL2,DYNLL1,cd4t_rest,4.03593085706234,nonsig
EDEM2,EDEM1,cd4t_rest,2.1061659809201956,nonsig
PITPNM2,PITPNB,cd4t_rest,2.07447212934494,nonsig
MAP2K3,PAK1,cd4t_rest,2.953981876373291,nonsig
