paralog_gene,mean_dz,max_dz,n_pairs
TNRC6B,0.7722824128298139,2.39399441331625,6
TMSB4X,0.7715228021455308,2.086704321205616,3
CCDC85C,0.7712608644117912,0.8795704022049904,3
PPP4R3A,0.7710886793211102,0.9171245619654655,3
CD79B,0.7701464894538125,0.9222452938556672,3
GDPD1,0.7697334207360071,2.1803950890898705,7
FCHO2,0.7696250695224003,1.249844403937459,4
FOXK1,0.7676461367552814,1.317066304385662,4
FAM222A,0.7671845406293869,1.4691962748765943,3
ERC2,0.7633239173640808,2.8309819251298904,3
HEBP1,0.761124091843764,1.4281892850995064,3
EAF2,0.7585842907428741,1.021659955382347,3
HSP90AA1,0.7582083728308288,4.4279260486364365,15
KDM3A,0.7571990993265347,2.624108426272869,8
PMM1,0.7558770638547672,2.7845761477947235,3
PSMA4,0.7557924502768907,2.90636928833235,21
CCNT2,0.7531249800589238,2.9447319880127907,16
C1GALT1C1L,0.7529073279971877,2.367258872836828,6
NLRC3,0.7525430756310622,1.032948099076748,3
GADD45G,0.7500440692529082,1.239561048336327,6
RFX2,0.7494654377750778,5.014073934406042,16
FAM50A,0.748259000480175,0.8473316691815853,3
RFX7,0.7468855903828944,1.3302203565835953,4
BCAS4,0.7467035173807138,1.5738979429006577,3
PGAM2,0.7464557724694411,5.175781764090061,6
SUDS3,0.7438000292238738,2.560932695865631,8
NCKAP1,0.7433509860183913,1.2634233683347702,4
LZTS3,0.7430252029250065,2.020460654050112,6
HSBP1L1,0.7395055045684179,1.9098989591002464,3
CDYL,0.7391783532996973,1.0146563649177551,3
SLC38A1,0.7388469154240054,3.282140837807674,16
GSTM2,0.7376079261302948,0.7376079261302948,1
ITPRIPL1,0.7375912132362524,1.523936077952385,3
ANKRD26,0.7329866072783867,2.0165967475622892,3
TSPOAP1,0.7308510094881058,0.7308510094881058,1
ANO4,0.729973901831545,5.961401453241706,10
EIF2AK2,0.7296211256844869,1.4715473502874374,4
CRKL,0.7284717173060693,1.291334617882967,4
HNRNPR,0.7268534908354922,1.6196697186678648,4
TOGARAM2,0.7266808673739433,1.115165948867798,3
SPRED3,0.7256564043462277,1.8111417926847937,5
UBA3,0.7244550370111092,2.7377498373389244,6
FASLG,0.7219233289361,0.9019648432731628,3
CD109,0.7213501253455447,2.4419665411114693,10
FAM171A1,0.7205415101177741,1.4607906639575958,2
LRP1,0.7202874624894725,3.2326569221913815,9
BTD,0.7199468968513733,1.2204812467098236,3
SENP5,0.7199442909223226,1.4089947994798422,4
AMZ1,0.7188183963298798,2.7119316160678864,3
LRRN3,0.7161035686731339,0.9994646683335304,3
ARHGEF25,0.7152163547774156,1.726180229336023,6
