rank,term,p_value,z_score,combined_score,overlapping_genes,adj_p_value,old_p_value,old_adj_p_value,gene_set
17,Regulation Of DNA-templated Transcription (GO:0006355),0.012442472349375252,2.5501809340721473,11.186724339783751,"ZHX2, GMEB1, BCLAF1, GMEB2, BICRAL, PSPC1, SP4, SATB2, MDM2, TBL1X",0.18563714021535996,0,0,GO_Biological_Process_2023
18,Positive Regulation Of Neurogenesis (GO:0050769),0.01345059911742552,12.103500761035008,52.150736561346235,"IL1RAPL1, SLIT2",0.18563714021535996,0,0,GO_Biological_Process_2023
19,Positive Regulation Of Leukocyte Tethering Or Rolling (GO:1903238),0.014019039014764203,86.7304347826087,370.1081619438501,SELE,0.18563714021535996,0,0,GO_Biological_Process_2023
20,Neuron Projection Extension Involved In Neuron Projection Guidance (GO:1902284),0.014019039014764203,86.7304347826087,370.1081619438501,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
21,Axon Extension Involved In Axon Guidance (GO:0048846),0.014019039014764203,86.7304347826087,370.1081619438501,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
22,Calcitonin Family Receptor Signaling Pathway (GO:0097646),0.014019039014764203,86.7304347826087,370.1081619438501,IAPP,0.18563714021535996,0,0,GO_Biological_Process_2023
23,Proteasomal Protein Catabolic Process (GO:0010498),0.01492154097454821,6.201089233347298,26.07526649491076,"MDM2, PSMD1, TBL1X",0.18563714021535996,0,0,GO_Biological_Process_2023
24,Regulation Of Chemokine-Mediated Signaling Pathway (GO:0070099),0.016336778228659577,72.27173913043478,297.35024553718466,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
25,Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902253),0.01864918566892,61.94409937888199,246.6584798233955,MDM2,0.18563714021535996,0,0,GO_Biological_Process_2023
26,Positive Regulation Of Programmed Cell Death (GO:0043068),0.019816995811476577,5.553437265214125,21.77622336719109,"BCLAF1, IAPP, SLIT2",0.18563714021535996,0,0,GO_Biological_Process_2023
27,Negative Regulation Of Leukocyte Migration (GO:0002686),0.02095627318649442,54.19836956521739,209.49389233222107,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
28,Positive Regulation Of miRNA-mediated Gene Silencing (GO:2000637),0.02095627318649442,54.19836956521739,209.49389233222107,PUM2,0.18563714021535996,0,0,GO_Biological_Process_2023
29,Positive Regulation Of RIG-I Signaling Pathway (GO:1900246),0.02095627318649442,54.19836956521739,209.49389233222107,PUM2,0.18563714021535996,0,0,GO_Biological_Process_2023
30,Motor Neuron Axon Guidance (GO:0008045),0.02095627318649442,54.19836956521739,209.49389233222107,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
31,Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001910),0.02095627318649442,54.19836956521739,209.49389233222107,PIK3R6,0.18563714021535996,0,0,GO_Biological_Process_2023
32,Positive Regulation Of Protein Kinase A Signaling (GO:0010739),0.02095627318649442,54.19836956521739,209.49389233222107,IAPP,0.18563714021535996,0,0,GO_Biological_Process_2023
33,Presynaptic Membrane Organization (GO:0097090),0.02095627318649442,54.19836956521739,209.49389233222107,IL1RAPL1,0.18563714021535996,0,0,GO_Biological_Process_2023
34,Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),0.0219893133449622,4.013377238114838,15.319858378707446,"ZHX2, BCLAF1, PSPC1, MDM2",0.18563714021535996,0,0,GO_Biological_Process_2023
35,Negative Regulation Of Exocytosis (GO:0045920),0.023258052635139918,48.17391304347826,181.18709015535833,IL1RAPL1,0.18563714021535996,0,0,GO_Biological_Process_2023
36,Positive Regulation Of Post-Transcriptional Gene Silencing By RNA (GO:1900370),0.023258052635139918,48.17391304347826,181.18709015535833,PUM2,0.18563714021535996,0,0,GO_Biological_Process_2023
37,Positive Regulation Of Apoptotic Process (GO:0043065),0.025500562298192097,5.027068437180796,18.444589459478056,"BCLAF1, IAPP, SLIT2",0.18563714021535996,0,0,GO_Biological_Process_2023
38,Negative Regulation Of Leukocyte Chemotaxis (GO:0002689),0.02555453587694348,43.35434782608696,158.97781166869382,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
39,Regulation Of Leukocyte Tethering Or Rolling (GO:1903236),0.02555453587694348,43.35434782608696,158.97781166869382,SELE,0.18563714021535996,0,0,GO_Biological_Process_2023
40,Negative Regulation Of RNA Metabolic Process (GO:0051253),0.02555453587694348,43.35434782608696,158.97781166869382,PTBP2,0.18563714021535996,0,0,GO_Biological_Process_2023
41,Negative Regulation Of Vascular Permeability (GO:0043116),0.02555453587694348,43.35434782608696,158.97781166869382,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
42,Negative Regulation Of Amyloid Fibril Formation (GO:1905907),0.02555453587694348,43.35434782608696,158.97781166869382,IAPP,0.18563714021535996,0,0,GO_Biological_Process_2023
43,Negative Regulation Of Mononuclear Cell Migration (GO:0071676),0.0278457347637399,39.41106719367589,141.13400615713857,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
