dep_gene,paralog_gene,mean_identical_score,delta_z,group,rank,rank_pct
MAP2K7,MAP2K1,31.806,0.2418894633311359,Non-significant background,302,3.1143652676085387
STAT5A,STAT5B,92.72795,0.2416992935635603,Non-significant background,303,3.1246777353820767
ACSL3,ACSL4,64.8321,0.2416389544451416,Non-significant background,304,3.134990203155615
UBE2F,UBE2H,22.2833,0.2415835606911354,Non-significant background,305,3.145302670929153
CCNI,CCNG1,24.4715,0.2410963602540925,Non-significant background,306,3.1556151387026916
LHX6,LMO4,26.26545,0.2402982847081023,Non-significant background,307,3.16592760647623
TBC1D3,USP6NL,25.14255,0.2391664787558425,Non-significant background,308,3.1762400742497676
PTPN1,PTPN9,20.92225,0.2378702270405608,Non-significant background,309,3.186552542023306
CD69,CLEC2L,22.30545,0.2374166956971437,Non-significant background,310,3.1968650097968445
EWSR1,TAF15,39.8484,0.2369029373208132,Non-significant background,311,3.2071774775703825
IGF2BP2,IGF2BP3,64.53475,0.2365995906563442,Non-significant background,312,3.217489945343921
GNA11,GNAI3,51.0544,0.2355949065249132,Non-significant background,313,3.227802413117459
DDX10,DDX55,26.12855,0.2351386267807022,Non-significant background,314,3.2381148808909974
CYB561,CYB561A3,39.364,0.2346114339059195,Non-significant background,315,3.248427348664536
AP2S1,AP1S1,43.4569,0.2345538097201475,Non-significant background,316,3.2587398164380734
PSMA7,PSMA6,34.00865,0.2344836240599442,Non-significant background,317,3.269052284211612
